ArtikelNr;Beschreibung;Beschreibung2;T24ID;POG;PUG;REF;HANDLING;FAKTOR;ORIGINAL;Prio
008032680;Bridgestone 235/70 R 16 106 H   TL;Dueler 840 NISSAN # 78613;33511;83,6;71,896;4;0;;-1;1
008038970;Bridgestone 235/45 R 17 XL  97 W   TL;RE 050 A FORD # 02909;56749;83,1;71,466;4;0;;-1;1
008042230;Bridgestone 110/100- 18  64 M   TT;M 604 REAR # 02169;47583;67;62,12;1;0;;-1;1
008042300;Bridgestone 60 /100- 14  30 M   TT;M 203 FRONT # 02155;47576;37,7;33,912;1;0;;-1;1
008042330;Bridgestone 80 /100- 21  51 M   TT;M 203 FRONT # 02158;47592;40,6;39,416;1;0;;-1;1
008043030;Bridgestone 255/55 R 17 104 V   TL;Dueler H/L 400 MO # 02480;55205;139,5;119,97;4;0;;-1;1
008043130;Bridgestone 175/65 R 15  84 S   TL;Ecopia EP 25 TOYOTA # 02924;56732;51;43,86;4;0;;-1;1
008044670;Bridgestone 255/35 R 18  90 W   TL;RE 050 A I RFT * # 05128;60459;219,6;188,856;4;0;;-1;1
008046330;Bridgestone 225/55 R 16  95 W   TL;ER 300 AO # 03498;60197;94;80,84;4;0;;-1;1
008046400;Bridgestone 205/55 R 16  91 V   TL;ER 300 Ecopia VO P # 03364;60517;56,8;48,848;4;0;;-1;1
008046420;Bridgestone 205/55 R 16  91 W   TL;ER 300 Ecopia MO # 03522;60487;54,6;46,956;4;0;;-1;1
008046870;Bridgestone 205/55 R 16  91 W   TL;RE 040 AO # 03518;60188;60;51,6;4;0;;-1;1
008047740;Bridgestone 185/60 R 15 XL  88 H   TL;B 250 VO # 03285;64628;63,3;54,438;4;0;;-1;1
008050660;Bridgestone 175/70 R 14  84 T   TL;B 250 VO # 04229;67891;46,9;40,334;4;0;;-1;1
008051430;Bridgestone 215/55 R 16 XL  97 W   TL;ER 300 FORD # 04719;402067;101,4;87,204;4;0;;-1;1
008064200;Bridgestone 195/55 R 16  87 H   TL;ER 300 A-Clas MO # 04903;402115;77;66,22;4;0;;-1;1
008065340;Bridgestone 225/40 R 18 XL  92 Y   TL;RE 050 A VO # 05154;402280;84,1;72,326;4;0;;-1;1
008067880;Bridgestone 205/55 R 16  91 V   TL;T001 VOLVO # 05702;416394;60,6;52,116;4;0;;-1;1
